127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000601
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000543
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.003074
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002824
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003591
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003754
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002395
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000567
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000599
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000607
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000597
127.0.0.1, 2014-07-21 23:08:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000993
127.0.0.1, 2014-07-21 23:08:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2014-07-21 23:08:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000498
127.0.0.1, 2014-07-21 23:08:33, GET, /listemAlpha/default/sep, HTTP/1.1, 500, 2.055406
127.0.0.1, 2014-07-21 23:08:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000451
127.0.0.1, 2014-07-21 23:08:35, GET, /admin/default/ticket/listemAlpha/127.0.0.1.2014-07-21.23-08-31.e8e87cef-4a79-402e-97cc-cb89f58044b1, HTTP/1.1, 200, 0.198177
127.0.0.1, 2014-07-21 23:08:36, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000380
